Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Total Rooms,Bedrooms,Floors,Total Floors,Basement(kelder),Attic(zolder),Loft(vliering),Energy label,Position,Garden,Estimated neighbourhood price per m2
Lengelseweg 24,'s-Heerenberg,298500,225,100,1913,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,6,5,2 woonlagen en een zolder,2,0,1,0,A,In bosrijke omgeving en landelijk gelegen,Achtertuin en tuin,485
Willem Walravenhove 39,Nieuwegein,375000,94,102,1997,Bestaande bouw,"Eengezinswoning, hoekwoning (patiowoning)",Plat dak bedekt met bitumineuze dakbedekking,3,2,2 woonlagen,2,0,0,0,A,Aan rustige weg en in woonwijk,Patio/atrium en zonneterras,3537
Balsa 209,Dordrecht,469500,185,143,1997,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Plat dak,5,3,4 woonlagen,4,0,0,0,B,"Aan rustige weg, aan water, beschutte ligging en in woonwijk",Achtertuin en tuin,1105
Bosstraat 16,Silvolde,325000,242,93,1922,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met asbest en pannen,6,4,2 woonlagen en een kelder,2,1,0,0,F,,"Achtertuin, tuin en zijtuin",468
Wingerd 34,Vroomshoop,449000,1078,205,1983,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,7,4,2 woonlagen,2,0,0,0,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,3005
Ferdind Bolstraat 62,Leeuwarden,299500,131,100,1940,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,3,2,2 woonlagen en een zolder,2,0,1,0,C,In woonwijk,Achtertuin en tuin,136
Hoefslag 80,Nijkerk,389000,165,142,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,In woonwijk,Achtertuin en tuin,202
Tasveld 13,Rheden,560000,288,151,2016,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5,4,3 woonlagen,3,0,0,0,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk","Achtertuin, tuin en zijtuin",738
van Limburg Stirumlaan 55,arden,425000,159,90,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen,2,0,0,0,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en tuin,3755
de Vosplantsoen 5,Hulst,339500,292,132,1970,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,D,"Aan park, aan water, in woonwijk en vrij uitzicht",Achtertuin en tuin,123
Waardenborchstraat 35,Holten,345000,320,116,1973,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,5,2 woonlagen en een zolder,2,0,1,0,D,Aan rustige weg en in woonwijk,Tuin rondom,285
Waterkerslaan 16,Oosterhout (NB),410000,227,138,1976,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,1865
Kennemerbeekweg 23,Bennebroek,465000,177,119,1930,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,E,Aan rustige weg,Achtertuin en tuin,1375
Legmeerdijk 220 a,Amstelveen,2695000,1005,412,1967,Bestaande bouw,"Villa, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,10,7,3 woonlagen,3,0,0,0,A,Aan drukke weg en landelijk gelegen,Tuin rondom,240
Zijlroede 21,Leeuwarden,285000,194,105,2006,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een zolder,2,0,1,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,5665
Floraronde 7,Uitgeest,950000,421,183,1998,Bestaande bouw,"Villa, vrijstaande woning",Tentdak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,B,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, tuin en zijtuin",37
Elandenburg 137,Barendrecht,450000,128,131,2005,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,5405
